TRE,WECC,EIC
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.9716
0.0336,0.0007,4.15
0.2232,0.1587,7.0746
0.438,1.2348,9.1408
0.6024,2.6645,10.1224
0.6084,3.5963,9.6768
0.5124,4.0107,8.9013
0.4152,4.1075,7.2797
0.354,4.0323,4.9861
0.2484,3.4133,2.2605
0.0972,2.3696,0.5641
0.0048,1.0023,0.0439
0,0.1242,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.3109
0.0444,0.0009,1.6768
0.3024,0.064,4.755
0.5436,0.5137,7.3909
0.7068,1.1092,9.0797
0.8208,1.845,9.7143
0.8352,2.4042,9.5957
0.798,2.5825,8.4607
0.6816,2.5825,6.3638
0.4668,2.2391,3.6277
0.2148,1.5954,0.8923
0.012,0.8733,0.0397
0,0.0912,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.5563
0.0168,4.00E-04,2.9959
0.1032,0.0696,5.3575
0.1752,0.8468,7.1246
0.2664,1.8691,8.4101
0.4848,2.4565,8.4979
0.6468,3.5432,7.8424
0.6384,3.813,6.2853
0.4812,3.0446,4.2052
0.2844,2.4132,1.9568
0.12,2.1922,0.4914
0.0048,1.1552,0.0485
0,0.1933,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.3823
0.0588,0.0012,1.6595
0.3228,0.1202,4.178
0.564,0.7238,6.4359
0.7044,1.2912,7.9882
0.6984,1.4806,8.3105
0.6084,1.8368,7.6657
0.4272,2.459,7.0454
0.2484,2.55,5.3571
0.126,2.3456,3.0219
0.0564,1.7538,0.8926
0.0024,0.8964,0.0158
0,0.1412,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.386
0.03,0.0006,2.2192
0.1416,0.0531,6.1818
0.2244,1.1024,10.5115
