PJM,SPP,TRE,SOU,WECC,EICW,NE
3.1132,1.4049,0.3096,2.2289,2.2891,3.1956,2.6183
3.1401,1.5294,0.2604,2.2953,3.1758,3.3007,2.5849
2.8052,1.3861,0.192,2.2298,3.7273,3.1065,2.1946
2.287,1.1058,0.162,2.0001,3.9794,2.6825,1.2898
1.4916,0.8024,0.1404,1.5577,3.9075,2.0066,0.4287
0.5798,0.5579,0.0936,0.8699,3.5195,1.0974,0.0274
4.64E-02,0.2154,0.0264,0.1039,2.7393,0.1986,0
0,0.0285,0,0,1.5041,0.0004,0
0,0,0,0,0.273,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.2099,0,0,0.3973,0,0.0051,0.315
1.2218,0.0138,0.0204,1.3588,0.0004,0.2616,1.3701
2.0148,0.3502,0.2076,2.0377,0.2767,0.7365,2.08
2.4731,1.0328,0.4212,2.482,1.6684,1.4397,2.4012
2.7176,1.566,0.6,2.717,2.9994,1.9904,2.6299
2.6879,1.7139,0.4788,2.7616,3.9122,2.0332,2.6097
2.3724,1.793,0.36,2.6112,4.4287,1.8772,2.1105
1.8091,1.5825,0.3504,2.2285,4.606,1.5845,1.4846
0.8588,1.1984,0.3348,1.6223,4.3824,1.1169,0.6824
0.1888,0.7596,0.27,0.8321,3.6736,0.5853,0.0843
